epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,242.498,0.67026,0.77027,0.94557,0.86458,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0008516,0.0008516,0.0008516
31,249.934,0.58357,0.79005,0.90542,0.86298,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.000812,0.000812,0.000812
32,257.369,0.66883,0.7279,0.98911,0.88433,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0007724,0.0007724,0.0007724
33,264.735,0.54544,0.67621,1.11607,0.85117,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0007328,0.0007328,0.0007328
34,271.918,0.59377,0.74246,1.03402,0.92629,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0006932,0.0006932,0.0006932
35,280.142,0.60129,0.77011,1.12964,0.8627,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0006536,0.0006536,0.0006536
36,288.656,0.57524,0.63943,0.83638,0.86126,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.000614,0.000614,0.000614
37,297.22,0.49077,0.68161,0.85808,0.86207,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0005744,0.0005744,0.0005744
38,304.62,0.5541,0.65256,0.82874,0.86555,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0005348,0.0005348,0.0005348
39,311.946,0.55346,0.61866,0.84674,0.87363,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0004952,0.0004952,0.0004952
40,319.362,0.58536,0.75927,0.86085,0.86489,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0004556,0.0004556,0.0004556
41,326.808,0.47588,0.64175,0.91367,0.80867,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.000416,0.000416,0.000416
42,334.15,0.45616,0.60277,0.91464,0.82768,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0003764,0.0003764,0.0003764
43,341.194,0.52819,0.58519,0.933,0.8353,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0003368,0.0003368,0.0003368
44,348.266,0.41741,0.54339,0.80203,0.8206,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0002972,0.0002972,0.0002972
45,355.393,0.49082,0.61914,0.92303,0.81822,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0002576,0.0002576,0.0002576
46,362.487,0.48532,0.54076,0.96123,0.81852,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.000218,0.000218,0.000218
47,369.627,0.46396,0.62676,0.86,0.78287,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0001784,0.0001784,0.0001784
48,376.789,0.47995,0.54383,0.88542,0.81389,0.9748,1,0.99409,0.92851,0.9748,1,0.99409,0.92595,0.3686,0.47627,0.64843,0.78968,0.0001388,0.0001388,0.0001388
49,383.937,0.48167,0.52677,0.84283,0.79295,0.9748,1,0.99409,0.92851,0.9748,1,0.99409,0.92595,0.3686,0.47627,0.64843,0.78968,9.92e-05,9.92e-05,9.92e-05
50,391.045,0.46022,0.51014,0.86433,0.82535,0.9748,1,0.99409,0.92851,0.9748,1,0.99409,0.92595,0.3686,0.47627,0.64843,0.78968,5.96e-05,5.96e-05,5.96e-05
1,18.8515,0.81961,1.43229,3.25265,0.98141,0.01367,0.95349,0.03347,0.0241,0.01367,0.95349,0.07548,0.02972,0.44162,1.11207,3.06965,0.89965,0,0,0
2,32.3511,0.70651,1.39123,3.14627,0.97849,0.01367,0.95349,0.03756,0.02682,0.01367,0.95349,0.08105,0.03243,0.40525,1.05054,3.06146,0.88417,1.9604e-05,1.9604e-05,1.9604e-05
3,40.6644,0.68816,1.26894,3.05143,0.95812,0.01433,1,0.05544,0.03909,0.01433,1,0.09852,0.04182,0.35074,0.96734,3.04377,0.85573,3.8416e-05,3.8416e-05,3.8416e-05
4,49.0192,0.72547,1.22437,3.16342,0.95424,0.01433,1,0.06469,0.04672,0.01433,1,0.11043,0.05038,0.31237,0.83918,3.02955,0.83149,5.6436e-05,5.6436e-05,5.6436e-05
5,57.6292,0.55706,1.04086,2.9076,0.8792,0.01433,1,0.09118,0.06592,0.01433,1,0.1385,0.07122,0.34153,0.73569,3.02171,0.82338,7.3664e-05,7.3664e-05,7.3664e-05
6,66.2937,0.54273,0.88421,2.74571,0.89763,0.01433,1,0.207,0.15288,0.01433,1,0.24749,0.17047,0.40929,0.65266,2.99472,0.82088,9.01e-05,9.01e-05,9.01e-05
