epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,206.861,0.65902,0.86405,1.01502,0.88924,0.95519,0.99167,0.9735,0.80402,0.95519,0.99167,0.9735,0.86108,0.51397,0.67969,0.87413,0.82149,0.0010496,0.0010496,0.0010496
26,214.038,0.54049,0.6872,1.15582,0.83853,0.95519,0.99167,0.9735,0.80402,0.95519,0.99167,0.9735,0.86108,0.51397,0.67969,0.87413,0.82149,0.00101,0.00101,0.00101
27,221.478,0.63709,0.72216,0.91845,0.86517,0.95519,0.99167,0.9735,0.80402,0.95519,0.99167,0.9735,0.86108,0.51397,0.67969,0.87413,0.82149,0.0009704,0.0009704,0.0009704
28,228.741,0.6597,0.98316,1.00987,0.88036,0.95519,0.99167,0.9735,0.80402,0.95519,0.99167,0.9735,0.86108,0.51397,0.67969,0.87413,0.82149,0.0009308,0.0009308,0.0009308
29,236.489,0.59141,0.70255,1.19749,0.87738,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0008912,0.0008912,0.0008912
30,244.011,0.67026,0.77027,0.94557,0.86458,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0008516,0.0008516,0.0008516
31,251.328,0.58357,0.79005,0.90542,0.86298,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.000812,0.000812,0.000812
32,258.774,0.66883,0.7279,0.98911,0.88433,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0007724,0.0007724,0.0007724
33,265.986,0.54544,0.67621,1.11607,0.85117,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0007328,0.0007328,0.0007328
34,273.184,0.59377,0.74246,1.03402,0.92629,0.97726,0.99939,0.975,0.87221,0.97726,0.99939,0.975,0.87573,0.50105,0.59798,0.74996,0.82342,0.0006932,0.0006932,0.0006932
35,280.423,0.60129,0.77011,1.12964,0.8627,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0006536,0.0006536,0.0006536
36,287.856,0.57524,0.63943,0.83638,0.86126,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.000614,0.000614,0.000614
37,295.141,0.49077,0.68161,0.85808,0.86207,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0005744,0.0005744,0.0005744
38,302.949,0.5541,0.65256,0.82874,0.86555,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0005348,0.0005348,0.0005348
39,310.254,0.55346,0.61866,0.84674,0.87363,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0004952,0.0004952,0.0004952
40,317.765,0.58536,0.75927,0.86085,0.86489,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.0004556,0.0004556,0.0004556
41,325.081,0.47588,0.64175,0.91367,0.80867,0.97564,1,0.99455,0.89961,0.97564,1,0.99455,0.90898,0.42653,0.51903,0.66419,0.80891,0.000416,0.000416,0.000416
42,332.235,0.45616,0.60277,0.91464,0.82768,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0003764,0.0003764,0.0003764
43,339.374,0.52819,0.58519,0.933,0.8353,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0003368,0.0003368,0.0003368
44,346.395,0.41741,0.54339,0.80203,0.8206,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0002972,0.0002972,0.0002972
45,354.308,0.49082,0.61914,0.92303,0.81822,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0002576,0.0002576,0.0002576
46,362.322,0.48532,0.54076,0.96123,0.81852,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.000218,0.000218,0.000218
47,370.511,0.46396,0.62676,0.86,0.78287,0.97652,1,0.995,0.92965,0.97652,1,0.995,0.92044,0.37595,0.47948,0.64743,0.79511,0.0001784,0.0001784,0.0001784
48,377.859,0.47995,0.54383,0.88542,0.81389,0.9748,1,0.99409,0.92851,0.9748,1,0.99409,0.92595,0.3686,0.47627,0.64843,0.78968,0.0001388,0.0001388,0.0001388
49,385.204,0.48167,0.52677,0.84283,0.79295,0.9748,1,0.99409,0.92851,0.9748,1,0.99409,0.92595,0.3686,0.47627,0.64843,0.78968,9.92e-05,9.92e-05,9.92e-05
50,392.209,0.46022,0.51014,0.86433,0.82535,0.9748,1,0.99409,0.92851,0.9748,1,0.99409,0.92595,0.3686,0.47627,0.64843,0.78968,5.96e-05,5.96e-05,5.96e-05
