epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,172.224,0.34232,3.35476,0.69505,0.34587,1.08237,0.99516,0.23256,0.24511,0.23951,0.89564,0.2093,0.20285,0.1048,0.37834,4.73114,0.68053,1.04898,0.55109,0.000252304,0.000252304,0.000252304
28,178.053,0.5421,3.02825,0.68918,0.50908,1.1659,0.99516,0.23256,0.24511,0.23951,0.89564,0.2093,0.20285,0.1048,0.37834,4.73114,0.68053,1.04898,0.55109,0.000251316,0.000251316,0.000251316
29,183.874,0.34543,2.73637,0.71674,0.43371,1.07049,0.99519,0.23256,0.245,0.24074,0.89567,0.2093,0.20663,0.10612,0.38654,4.65083,0.68365,0.73512,0.57777,0.000249536,0.000249536,0.000249536
30,189.426,0.31778,2.783,0.70187,0.35857,1.04467,0.99519,0.23256,0.245,0.24074,0.89567,0.2093,0.20663,0.10612,0.38654,4.65083,0.68365,0.73512,0.57777,0.000246964,0.000246964,0.000246964
31,195.187,0.3965,3.83184,0.69475,0.43891,1.10776,1,0.25463,0.26986,0.24573,0.89565,0.2093,0.21198,0.11732,0.39567,4.77602,0.68733,0.58349,0.60513,0.0002436,0.0002436,0.0002436
32,200.74,0.24556,3.01638,0.73195,0.35375,1.00743,1,0.25463,0.26986,0.24573,0.89565,0.2093,0.21198,0.11732,0.39567,4.77602,0.68733,0.58349,0.60513,0.000239444,0.000239444,0.000239444
33,206.337,0.34148,2.33399,0.69445,0.41272,1.03361,0.99523,0.23256,0.24873,0.23982,0.99523,0.23256,0.2516,0.14034,0.4157,4.83036,0.68684,0.48847,0.66954,0.000234496,0.000234496,0.000234496
34,211.948,0.24721,2.2964,0.70549,0.32358,1.0004,0.99523,0.23256,0.24873,0.23982,0.99523,0.23256,0.2516,0.14034,0.4157,4.83036,0.68684,0.48847,0.66954,0.000228756,0.000228756,0.000228756
35,217.733,0.4438,2.3048,0.72282,0.45862,1.14008,0.99527,0.23256,0.25206,0.2464,0.99527,0.23256,0.25771,0.13886,0.40886,5.0437,0.67884,0.42757,0.67497,0.000222224,0.000222224,0.000222224
36,223.37,0.24982,2.57262,0.72436,0.29736,0.95134,0.99527,0.23256,0.25206,0.2464,0.99527,0.23256,0.25771,0.13886,0.40886,5.0437,0.67884,0.42757,0.67497,0.0002149,0.0002149,0.0002149
37,229.136,0.2852,4.67393,0.72637,0.36091,1.06461,0.99529,0.23256,0.2529,0.2529,0.99529,0.23256,0.26111,0.13291,0.4004,4.9817,0.67454,0.48102,0.66899,0.000206784,0.000206784,0.000206784
38,234.712,0.27569,3.43082,0.72535,0.31437,0.94813,0.99529,0.23256,0.2529,0.2529,0.99529,0.23256,0.26111,0.13291,0.4004,4.9817,0.67454,0.48102,0.66899,0.000197876,0.000197876,0.000197876
39,240.694,0.40336,2.33881,0.71357,0.3824,1.09308,0.99535,0.23256,0.25783,0.25783,0.99535,0.23256,0.2661,0.1355,0.35924,4.76766,0.66879,0.56989,0.60727,0.000188176,0.000188176,0.000188176
40,246.395,0.34474,4.34728,0.69787,0.32905,1.06086,0.99535,0.23256,0.25783,0.25783,0.99535,0.23256,0.2661,0.1355,0.35924,4.76766,0.66879,0.56989,0.60727,0.000177684,0.000177684,0.000177684
41,252.6,0.68255,4.06892,0.66544,0.85329,1.44722,0.99535,0.23256,0.26677,0.26677,0.99535,0.23256,0.27237,0.12606,0.30994,4.48375,0.66563,0.56659,0.52803,0.0001664,0.0001664,0.0001664
42,259.194,0.48294,4.13266,0.67427,0.81729,1.25482,0.99535,0.23256,0.26677,0.26677,0.99535,0.23256,0.27237,0.12606,0.30994,4.48375,0.66563,0.56659,0.52803,0.000154324,0.000154324,0.000154324
43,265.664,0.59862,3.70581,0.68793,1.16043,1.37236,0.99542,0.23256,0.2887,0.2887,0.99542,0.23256,0.2887,0.1288,0.27333,4.06656,0.663,0.53518,0.46275,0.000141456,0.000141456,0.000141456
